Designator,Mid X,Mid Y,Layer,Rotation
C3,49.00,22.00,Top,180.0
C4,55.00,22.00,Top,0.0
C5,74.50,25.00,Top,180.0
C6,24.50,28.00,Top,270.0
C7,20.50,28.00,Top,270.0
C8,10.50,21.00,Top,270.0
C9,12.50,21.00,Top,90.0
C10,12.50,17.00,Top,270.0
C11,14.50,13.00,Top,90.0
C12,37.00,28.50,Top,270.0
C13,14.50,28.00,Top,0.0
C14,74.50,20.50,Top,0.0
C15,30.50,28.00,Top,0.0
C16,86.50,16.00,Top,90.0
D1,107.00, 4.00,Top,180.0
D2,23.50,20.00,Top,90.0
D3,12.50, 8.00,Top,180.0
D4,12.50, 4.13,Top,180.0
D5,107.00, 2.50,Top,180.0
D6,107.00, 1.00,Top,180.0
F1,12.50,10.00,Top,0.0
F2,12.50, 6.00,Top,180.0
IC2,52.50,26.00,Top,180.0
IC3,64.50,20.00,Top,0.0
IC4,45.50,16.00,Top,270.0
IC5,16.50,19.00,Top,270.0
IC6,82.50,18.00,Top,270.0
L1,32.60,17.61,Top,90.0
Q1,19.50,10.00,Top,180.0
Q2,19.50, 6.00,Top,180.0
R1,11.50, 1.50,Top,0.0
R2,23.50, 9.00,Top,0.0
R3,23.50,11.00,Top,0.0
R4,23.50, 5.00,Top,0.0
R5,23.50, 7.00,Top,0.0
R6,114.00, 3.50,Top,0.0
R7,110.00, 3.50,Top,0.0
R8,110.00, 1.50,Top,0.0
R9,114.00, 1.50,Top,0.0
R10,10.50,17.00,Top,270.0
R11,10.50,13.00,Top,270.0
R12,12.50,13.00,Top,90.0
R13,43.00,16.00,Top,90.0
R14,48.00,16.00,Top,90.0
R15,74.50,18.50,Top,180.0
R16,74.50,23.00,Top,180.0
R17,102.50,19.00,Top,270.0
R18,102.50, 8.50,Top,270.0
R19,74.50,16.00,Top,180.0
R20,74.50,11.00,Top,180.0
R21,74.50,13.50,Top,180.0
R22,49.00,30.00,Top,0.0
R23,56.00,30.00,Top,180.0
Y1,56.00,16.50,Top,90.0
